ID,Year.x,sex,Site,CI1,RS,WPY,JulRec,N,avg_entropy,avg_dfrange,avg_freq.range,avg_meanpeakf,avg_num.elms,avg_elm.duration,avg_elm.rate,avg_song.duration,avg_gap.duration,avg_mcp.area,avg_freq.IQR,cv_entropy,cv_dfrange,cv_freq.range,cv_meanpeakf,cv_num.elms,cv_elm.duration,cv_elm.rate,cv_song.duration,cv_gap.duration,cv_mcp.area,cv_freq.IQR,maxTS,T_Avg_Bright,R_Avg_Bright,B_Avg_Bright,V_Avg_Bright,T_Hue,R_Hue,B_Hue,V_Hue,T_Chroma,R_Chroma,B_Chroma,V_Chroma,RelRec,idyr,band,Year.y,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.achieved,V_sum.B2
2540-98929,2011,f,Make Believe,153,0,NA,146,1,0.807598195,2.575034483,14.6672,3.57362069,29,0.062310345,10.99734547,2.637,0.029642857,2.96E-05,1.326800898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.833,25.78,35.052,35.764,25.622,641.803,626.73,591.077,635.157,0.443,0.444,0.395,0.495,-7,2540-98929 2011,2540-98929,2011,-0.076126457,-0.727805785,0.433502229,25.31849169,0.001588209,-0.799124235,0.514184448,34.36995791,0.093931973,-0.967562415,0.492606178,35.17622947,-0.024786577,-0.767345839,0.627576796,25.00830106
2540-98915,2011,f,Fisher,152,6,NA,138,4,0.81715251,2.264282759,8.176875,3.400901724,18.25,0.062521634,9.915070182,1.84525,0.040986264,2.21E-05,0.834667002,0.000216788,0.133165744,1.77142925,0.003000828,2.826484018,8.83E-05,0.021006587,0.297450707,0.001147095,4.14E-06,0.203816331,87.667,25.212,29.882,24.293,26.547,668.437,636.787,612.083,617.807,0.439,0.458,0.479,0.475,-14,2540-98915 2011,2540-98915,2011,-0.018332998,-0.829391712,0.505736049,24.73773187,0.029365967,-0.844658493,0.597419011,29.23811921,0.001104241,-0.828851936,0.640064414,23.72887178,-0.034453085,-0.788563766,0.582303339,25.96675404
2600-27451,2011,f,COOK,158,5,NA,149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,24.561,24.706,37.276,23.479,591.72,631.777,607.477,646.13,0.466,0.451,0.421,0.477,-9,2600-27451 2011,2600-27451,2011,-0.059236585,-0.712997679,0.493035356,24.06419972,-0.017525764,-0.774752479,0.507182543,24.22230945,0.031692154,-0.873647938,0.501395963,36.60527637,-0.027535791,-0.747601213,0.563089136,22.96355682
2540-98605,2012,f,Cargill,148,3,NA,144,1,0.829589229,1.919647059,6.7022,2.879470588,17,0.063235294,10.74589128,1.582,0.0316875,1.37E-05,0.773881254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,18.188,27.964,25.976,16.776,639.743,628.16,621.81,668.123,0.48,0.441,0.507,0.496,-4,2540-98605 2012,2540-98605,2012,-0.101109757,-0.658864138,0.475765549,17.81236311,-0.025847895,-0.747524645,0.453140233,27.45771183,-0.058571613,-0.76241609,0.647788436,25.33120558,-0.083127845,-0.66661884,0.521127418,16.40363208
2540-98606,2012,f,Cargill,130,3,NA,144,3,0.845067989,2.031031579,6.3158,3.199785965,16,0.066184795,10.24706754,1.562333333,0.035477615,1.87E-05,0.953956861,9.42E-05,0.092077323,0.007407456,0.042920358,0.4375,0.00180193,0.291001394,0.000576275,0.000907242,1.19E-06,0.05995795,83,26.783,42.909,39.957,36.751,590.453,577.42,576.117,635.143,0.488,0.394,0.4,0.387,14,2540-98606 2012,2540-98606,2012,-0.061124331,-0.716138906,0.560004783,26.17974004,0.013535079,-0.848228298,0.391849811,42.27972991,0.064854232,-0.900461185,0.460749753,39.31212119,-0.007700486,-0.835667074,0.354711199,36.24326972
2540-98618,2012,f,Fisher,141,10,NA,138,6,0.8334001,2.089362023,6.253633333,3.230035501,16,0.0628871,11.36166965,1.412,0.027382937,2.44E-05,0.762157691,0.000311066,0.116110024,0.034068657,0.035960901,0.175,0.00047362,0.074500355,0.013622663,0.000826583,4.91E-07,0.037085214,86,34.36,54.732,52.804,40.321,644.51,661.18,661.18,661.18,0.415,0.365,0.352,0.385,-3,2540-98618 2012,2540-98618,2012,-0.052356447,-0.721526835,0.368764076,33.81916289,0.062022467,-0.854175655,0.314010033,54.07048077,0.070223769,-0.871026998,0.283877377,52.2327804,-0.004452747,-0.730780407,0.307151288,39.79426674
2391-83585,2012,f,CHR,142,4,NA,150,6,0.827260145,2.437403535,5.956066667,3.295299495,10.33333333,0.084249242,8.538571022,1.225666667,0.037972306,5.84E-06,0.900731005,0.000154877,0.087237708,0.015467426,0.016513016,0.103225806,0.000232693,0.115765642,0.029954528,0.005061098,1.06E-06,0.029863845,80.667,24.782,28.037,NA,22.471,679.72,626.41,NA,616.747,0.439,0.478,NA,0.46,8,2391-83585 2012,2391-83585,2012,-0.071995169,-0.748334905,0.43240606,24.34001329,-0.04849825,-0.725523884,0.533897838,27.43137275,NA,NA,NA,NA,-0.034210197,-0.741066349,0.507802604,22.01944261
2600-27211,2012,f,CHR,152,2,NA,131,2,0.832542295,1.5288,5.18085,3.1668,12,0.058892857,10.23632763,1.1675,0.042547009,1.31E-05,0.637686648,6.93E-06,0.010176923,0.031919474,0.007531034,0.666666667,0.000230833,0.01827584,0.044128908,4.78E-05,1.75E-10,0.001161935,81,13.016,34.062,36.023,26.329,681.763,568.723,581.417,584.793,0.573,0.412,0.431,0.475,-21,2600-27211 2012,2600-27211,2012,-0.094105196,-0.725009808,0.665968233,15.24195779,0.069877912,-0.888760032,0.539368,35.40624201,0.06766255,-0.900575488,0.49428699,33.00062069,0.032423243,-0.848594641,0.583495061,27.69353097
2540-98877,2012,f,CHR,147,9,NA,146,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.667,13.972,36.873,31.721,32.097,660.103,616.02,606.457,629.13,0.544,0.426,0.451,0.462,-1,2540-98877 2012,2540-98877,2012,-0.154151184,-0.611547714,0.558967377,13.61767782,0.036004323,-0.82975789,0.488761893,36.21923218,-0.007754217,-0.82705039,0.551891644,31.08271601,0.017511471,-0.856755322,0.61807234,31.39456635
2600-27615,2012,f,CHR,149,3,NA,146,3,0.837908945,2.040888889,6.0067,3.297622222,11,0.068773545,10.44443238,1.066666667,0.030513889,9.86E-06,0.747643324,6.18E-07,0.121436484,0.000201981,0.04270864,0.636363636,0.00104944,0.127879955,0.093084688,0.001045991,1.57E-06,0.053653332,75.5,22.248,35.281,39.266,21.245,668.09,618.393,643.363,626.687,0.504,0.404,0.364,0.481,-3,2600-27615 2012,2600-27615,2012,-0.07322003,-0.677505006,0.559041551,21.72488519,0.079918592,-0.878625142,0.466145382,34.70004686,0.065776365,-0.866026554,0.321599466,38.78915459,-0.021530524,-0.732991611,0.561222773,20.77165582
